MAME Name,EN Name,CN Name
tpgolf,Top Player's Golf (NGM-003 ~ NGH-003),顶尖高尔夫（NGM-003）（NGH-003）
trally,Thrash Rally (ALM-003 ~ ALH-003),极速英豪 - 拉力赛车（ALM-003）（ALH-003）
turfmast,Neo Turf Masters / Big Tournament Golf,新草坪大师赛 / 高尔夫锦标赛
twinspri,Twinkle Star Sprites,梦幻小妖精
tws96,Tecmo World Soccer '96,世界杯足球 96
viewpoin,Viewpoint,魔眼战机
vliner,V-Liner (set 1),水果机（第1套）
vlinero,V-Liner (set 2),水果机（第2套）
wakuwak7,Waku Waku 7,火热火热 7
wh1,World Heroes (ALM-005),世界英雄（ALM-005）
wh1h,World Heroes (ALH-005),世界英雄（ALH-005）
wh1ha,World Heroes (set 3),世界英雄（第3套）
wh2,World Heroes 2 (ALM-006 ~ ALH-006),世界英雄 2（ALM-006）（ALH-006）
wh2j,World Heroes 2 Jet (ADM-007 ~ ADH-007),世界英雄 2 喷射版（ADM-007）（ADH-007）
whp,World Heroes Perfect,世界英雄 完美版
wjammers,Windjammers / Flying Power Disc,超级飞碟球
zedblade,Zed Blade / Operation Ragnarok,刀锋战机
zintrckb,Zintrick / Oshidashi Zentrix (bootleg of CD version),挤压史莱姆（修改版 / 盗版）
zupapa,Zupapa!,星星大战!
