Name EN,Name CN
Exchanger (Japan) (Alt),EX互换者
Exchanger (Japan),EX互换者
Exerion (Japan),火凤凰
Exerion (Japan) (Alt 2),火凤凰
Exerion (Japan) (Alt),火凤凰
Exerion II - Zorni (Japan) (Alt),火凤凰 2
Exerion II - Zorni (Japan),火凤凰 2
Exoide-Z (Japan),埃索依德 Z
Exoide-Z (Japan) (Alt),埃索依德 Z
Exoide-Z (Japan) (Alt 2),埃索依德 Z
Exoide-Z Area 5 (Japan),埃索依德 Z - 第5区域
F-1 Spirit - The Way to Formula-1 (Japan),F1之魂
F-1 Spirit - The Way to Formula-1 (Japan) (Alt),F1之魂
F16 Fighting Falcon (Japan),F-16战隼
Fa Tetris (Korea) (Unl),
Fairy (Japan),小妖精
"Fairy Land Story, The (Japan) (Alt)",妖精大陆物语
"Fairy Land Story, The (Japan)",妖精大陆物语
Family Automation Language Community (Japan) (Program),
Fandom Library #1 (Japan),MSX游戏集锦 1
Fandom Library #2 (Japan),MSX游戏集锦 2
Fandom Library #3 (Japan),MSX游戏集锦 3
Fantasy Zone (Japan),幻想地带
Farm Kit (Europe) (Program),
Fathom (Japan),人鱼传说 - 法登
FB-01 Voicing Program (Japan) (Program),FB01声卡程序
Final Justice (Japan),最后判决
Final Justice (Japan) (Alt),最后判决
Final Justice (Japan) (Alt 2),最后判决
Final Mahjong (Japan),最终麻将
Final Zone Wolf (Japan),决战地带 - 野狼
Fire Rescue (Japan) (Alt),消防救援
Fire Rescue (Japan),消防救援
Flappy (Japan) (Alt),弗来皮 限制版
Flappy (Japan),弗来皮 限制版
Flappy - Limited 85 (Japan),弗来皮 限制版 85
Flash Point (Korea) (Unl) (Alt),闪点
Flash Point (Korea) (Unl),闪点
Flash Splash (Japan),闪光斯普拉斯
Flicky (Japan),小鸡福里奇
"Flics, Les (France)",
Flight Deck (Japan),飞行甲板 2
Flight Deck (Japan) (Alt),飞行甲板 2
Flight Simulator (Japan),模拟飞行 - 鱼雷攻击
Flipper Slipper (Japan) (Alt),半圆打砖块
Flipper Slipper (Japan),半圆打砖块
FM Music Composer (Japan) (Program),FM音乐作曲家
FM Music Composer II (Japan) (Program),FM音乐作曲家 2
FM Music Macro (Japan) (Program),FM音乐精灵
FM Pana Amusement Cartridge (Japan) (Program),FM娱乐调频
FM Voicing Program (Japan) (Program),FM声卡程序
Formation Z (Japan) (Alt),变形战机 Z
Formation Z (Japan),变形战机 Z
Frogger (Japan),青蛙过河
Frogger (Japan) (Alt),青蛙过河
Front Line (Japan) (Alt),前线
Front Line (Japan),前线
Front Line (Japan) (Alt 2),前线
Fruit Search (Japan),水果搜查
Fruit Search (Japan) (Alt),水果搜查
Funky Mouse (Japan),欢乐鼠
Futbol (Spain),
Fuun Takeshijyou (Japan),风云武城
Galaga (Japan) (Alt 2),大蜜蜂
Galaga (Japan) (Alt),大蜜蜂
Galaga (Japan) (Alt 3),大蜜蜂
Galaga (Japan),大蜜蜂
Galaxian (Japan) (Alt),小蜜蜂
Galaxian (Japan),小蜜蜂
Galaxian (Japan) (Alt 2),小蜜蜂
Gall Force - Defense of Chaos (Japan) (Alt),银河女战士
Gall Force - Defense of Chaos (Japan),银河女战士
Gall Force - Defense of Chaos (Japan) (Alt 2),银河女战士
Gambler Jiko Chuushinha (Japan),自己中心派麻将
Game Land (Japan),游戏大陆
Game Master (Europe) (Alt),科乐美游戏之王
Game Master (Japan),科乐美游戏之王
Game Master (Europe),科乐美游戏之王
Game Master (Japan) (Alt),科乐美游戏之王
Game Master II (Japan),科乐美游戏之王 2
Game Master II (Japan) (Alt),科乐美游戏之王 2
Game World - 126 Games (Korea) (Unl),超级游戏世界 126
Gang Master (Japan),帮规
Gate of Labyrinth (Japan),迷宫之门
Genghis Khan (Japan),成吉思汗
Ghostbusters (Europe),小鬼巴斯特
Glider (Japan),滑翔
Glider (Japan) (Alt),滑翔
Gofer no Yabo - Episode II (Japan) (Wii U Virtual Console),宇宙巡航机 - 高夫的野望 2
Gojira vs 3 Daikaijuu (Japan),哥斯拉 3D
Gojira vs 3 Daikaijuu (Japan) (Alt),哥斯拉 3D
Gojira-kun (Japan),哥斯拉君
Gojira-kun (Japan) (Alt),哥斯拉君
Gokiburi Daisakusen - Bug Bomb (Japan),蟑螂大作战
Golf Game (Japan),高尔夫游戏
