Name EN,Name ZH
ECW Hardcore Revolution (Europe),终极摔交锦标赛(欧版)
ECW Hardcore Revolution (Germany),终极摔交锦标赛(德国)
ECW Hardcore Revolution (USA),终极摔交锦标赛(美版)
"Earthworm Jim 3D (Europe) (En,Fr,De,Es,It)","蚯蚓吉姆3D(欧版)(英,法,德,西,意)"
Earthworm Jim 3D (USA),蚯蚓吉姆3D(美版)
Eikou no Saint Andrews (Japan),荣光的圣安德鲁斯老球场(日版)
Eltale Monsters (Japan),圣魔世纪(日版)
Excitebike 64 (Europe),越野机车64(欧版)
Excitebike 64 (Japan),越野机车64(日版)
Excitebike 64 (USA),越野机车64(美版)
Excitebike 64 (USA) (Rev 1),越野机车64(美版)(版本1)
"Extreme-G (Europe) (En,Fr,De,Es,It)","极限摩托车G(欧版)(英,法,德,西,意)"
Extreme-G (Japan),极限摩托车G(日版)
Extreme-G (USA),极限摩托车G(美版)
"Extreme-G XG2 (Europe) (En,Fr,De,Es,It)","极限摩托车G-XG2(欧版)(英,法,德,西,意)"
Extreme-G XG2 (Japan),极限摩托车G-XG2(日版)
Extreme-G XG2 (USA),极限摩托车G-XG2(美版)
F-1 World Grand Prix (Europe),F1国际赛车大奖赛(欧版)
F-1 World Grand Prix (France),F1国际赛车大奖赛(法国)
F-1 World Grand Prix (Germany),F1国际赛车大奖赛(德国)
F-1 World Grand Prix (Japan),F1国际赛车大奖赛(日版)
F-1 World Grand Prix (USA),F1国际赛车大奖赛(美版)
"F-1 World Grand Prix II (Europe) (En,Fr,De,Es)","F1国际赛车大奖赛2(欧版)(英,法,德,西)"
F-Zero X (Europe),零式赛车X(欧版)
F-Zero X (Japan),零式赛车X(日版)
F-Zero X (USA),零式赛车X(美版)
"F1 Pole Position 64 (Europe) (En,Fr,De)","休曼GP赛车(欧版)(英,法,德)"
"F1 Pole Position 64 (USA) (En,Fr,De)","休曼GP赛车(美版)(英,法,德)"
"F1 Racing Championship (Brazil) (En,Fr)","F1赛车锦标赛(巴西)(英,法)"
"F1 Racing Championship (Europe) (En,Fr,De,Es,It)","F1赛车锦标赛(欧版)(英,法,德,西,意)"
"FIFA - Road to World Cup 98 (Europe) (En,Fr,De,Es,It,Nl,Sv)","FIFA足球'98-世界杯之路(欧版)(英,法,德,西,意,荷,瑞)"
"FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv)","FIFA足球'98-世界杯之路(美版)(英,法,德,西,意,荷,瑞)"
FIFA - Road to World Cup 98 - World Cup e no Michi (Japan),FIFA足球'98-世界杯之路(日版)
"FIFA 64 (Europe) (En,Fr,De)","FIFA世界杯64(欧版)(英,法,德)"
"FIFA 99 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)","FIFA足球'99(欧版)(英,法,德,西,意,荷,葡,瑞)"
"FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)","FIFA足球'99(美版)(英,法,德,西,意,荷,葡,瑞)"
"FIFA Soccer 64 (USA) (En,Fr,De)","FIFA足球64(美版)(英,法,德)"
Famista 64 (Japan),南梦宫棒球64(日版)
Fighter Destiny 2 (USA),格斗传承2(美版)
Fighters Destiny (Europe),格斗传承(欧版)
Fighters Destiny (France),格斗传承(法国)
Fighters Destiny (Germany),格斗传承(德国)
Fighters Destiny (USA),格斗传承(美版)
