Name EN,Name CN
Rapala Pro Bass Fishing (USA),诺帕拉职业钓鱼
"Deus Ex - Human Revolution - Director's Cut (Europe) (En,Fr,De,Es,It)",杀出重围 3 - 人类革命 导演剪辑版
"DreamWorks Turbo - Super Stunt Squad (Europe) (En,Fr,De,Es,It)",蜗牛超级特技队
DreamWorks How to Train Your Dragon 2 (USA),驯龙高手 2
"DreamWorks How to Train Your Dragon 2 (Europe) (En,Fr,De,Es,It,Pt)",驯龙高手 2
"LEGO Star Wars - The Force Awakens (Europe) (En,Fr,De,Es,It,Nl,Da)",乐高星球大战 - 原力觉醒
"Runbow - Deluxe Edition (USA) (En,Ja,Fr,De,Es,It)",润博
"New Super Luigi U (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",新超级路易吉 U
"Monster Hunter 3 Ultimate (Europe) (En,Fr,De,Es,It)",怪物猎人 3
"Cabela's Dangerous Hunts 2013 (USA) (En,Fr)",坎贝拉猎人 2013
"Voice, The - I Want You (USA)",好声音
"Disney-Pixar Cars 3 - Driven to Win (USA) (En,Fr,Es,Pt)",迪士尼皮克斯 汽车总动员 3 - 全力争胜
"Project Zero - Maiden of Black Water (Europe) (En,Fr,De)",零 - 濡鸦之巫女
"Sniper Elite V2 (Europe) (En,Fr,De,Es,It)",狙击精英 V2
"Marvel Avengers - Battle for Earth (Europe) (En,Fr,De,Es,It,Nl,Pl)",复仇者联盟 - 为地球而战
"Darksiders - Warmastered Edition (USA) (En,Ja,Fr,De,Es,It,Pt,Zh,Ko,Pl,Ru,Cs)",暗黑血统 战神版
Tokyo Mirage Sessions FE (Europe),幻影异闻录
"DreamWorks Kung Fu Panda - Showdown of Legendary Legends (Europe) (En,Fr,De,Es,It)",功夫熊猫 - 传奇对决
"Guitar Hero Live (Europe) (En,Fr,De,Es,It)",吉他英雄 Live
"Disney Phineas and Ferb - Quest for Cool Stuff (Europe) (En,Fr,De,Es,It)",迪士尼 飞哥与小佛 - 寻找酷玩意
"Shovel Knight (Europe) (En,Fr,De,Es,It)",铲子骑士
"Terraria (Europe) (En,Fr,De,Es,It)",泰拉瑞亚
"Adventure Time - Finn & Jake Investigations (Europe) (En,Fr,De,Es,It)",探险活宝 - 阿宝与老皮的史诗冒险
"Minecraft - Story Mode - A Telltale Games Series - The Complete Adventure (Europe) (En,Fr,De,Es,Pt,Ru)",我的世界 - 故事模式
"Minecraft - Wii U Edition (Europe) (En,Ja,Fr,De,Es,It,Nl,Pt,Zh,Ko,Ru) (Rev 1)",我的世界
"Just Dance 2017 (Europe) (En,Fr,De,Es,It,Nl)",舞力全开 2017
"Rodea the Sky Soldier (Europe) (En,Ja,Fr,De)",天空机士罗迪亚
"Paper Mario - Color Splash (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",纸马里奥色斑
"Yoshi's Woolly World (Europe) (En,Fr,De,Es,It,Nl)",耀西的世界
