Name EN,Name ZH
"Land of Illusion Starring Mickey Mouse (USA, Europe, Brazil) (En)","米老鼠-魔法大陆(美版,欧版,巴西)(英)"
Last Action Hero (USA),最后的英雄(美版)
"Legend of Illusion Starring Mickey Mouse (USA, Europe)","米老鼠-王国传说(美版,欧版)"
Lemmings (World),旅鼠总动员(世界)
"Lion King, The (Europe)",狮子王(欧版)
"Lion King, The (Japan)",狮子王(日版)
"Lion King, The (USA)",狮子王(美版)
"Lost World, The - Jurassic Park (USA)",侏罗纪公园-迷失世界(美版)
"Lucky Dime Caper Starring Donald Duck, The (USA, Europe, Brazil) (En)","幸运唐老鸭(美版,欧版,巴西)(英)"
Lunar - Sanposuru Gakuen (Japan),露娜-散步学园(日版)
MLBPA Baseball (USA),MLBPA棒球(美版)
"Madden 96 (USA, Europe)","疯狂NFL96(美版,欧版)"
Madden NFL 95 (USA),疯狂NFL95(美版)
Madou Monogatari A - Dokidoki Vacation (Japan),魔导物语A-多奇多奇贝坎松(日版)
Madou Monogatari I - 3-Tsu no Madoukyuu (Japan),魔导物语-三个魔导球(日版)
Madou Monogatari II - Arle 16-Sai (Japan),魔导物语2-亚露露16岁(日版)
Madou Monogatari III - Kyuukyoku Joou-sama (Japan),魔导物语3-究极女王(日版)
Madou Monogatari III - Kyuukyoku Joou-sama (Japan) (Rev A),魔导物语3-究极女王(日版)(版本A)
Magic Knight Rayearth (Japan),魔法骑士雷亚斯(日版)
Magic Knight Rayearth 2 - Making of Magic Knight (Japan),魔法骑士雷亚斯2-制造魔法骑士(日版)
"Magical Puzzle Popils (World) (En,Ja)","魔法迷题波比尔斯(世界)(英,日)"
Magical Taruruuto-kun (Japan),小魔星达鲁鲁(日版)
"Majors, The - Pro Baseball (USA)",马爵职业棒球(美版)
Man Overboard! (Europe),迷航救生队(欧版)
Mappy (Japan),快乐猫(日版)
"Marble Madness (USA, Europe)","玻璃球(美版,欧版)"
"Marko's Magic Football (Europe) (En,Fr,De,Es)","马可的魔法足球(欧版)(英,法,德,西)"
"Master of Darkness (Europe, Brazil) (En)","黑暗之主(欧版,巴西)(英)"
Mega Man (USA),洛克人(美版)
Megami Tensei Gaiden - Last Bible (Japan),女神转生外传(日版)
Megami Tensei Gaiden - Last Bible Special (Japan),女神转生外传特别版(日版)
Mickey Mouse Densetsu no Oukoku - Legend of Illusion (Japan),米老鼠-传说王国(日版)
Mickey Mouse no Castle Illusion (Japan),米老鼠-幻影城堡(日版)
Mickey Mouse no Mahou no Crystal (Japan),米老鼠-魔法水晶(日版)
Mickey's Ultimate Challenge (USA),米老鼠-终极挑战(美版)
"Micro Machines (USA, Europe)","微型机器(美版,欧版)"
Micro Machines 2 - Turbo Tournament (Europe),微型机器2(欧版)
"Mighty Morphin Power Rangers (USA, Europe)","恐龙战队(美版,欧版)"
"Mighty Morphin Power Rangers - The Movie (USA, Europe, Brazil) (En)","恐龙战队-大电影(美版,欧版,巴西)(英)"
Moldorian - Hikari to Yami no Sister (Japan),光与暗之姐妹(日版)
"Monster Truck Wars (USA, Europe)","大脚车大战(美版,欧版)"
Monster World II - Dragon no Wana (Japan),怪物世界2-龙之陷阱(日版)
"Mortal Kombat (USA, Europe)","真人快打(美版,欧版)"
Mortal Kombat - Shinken Kourin Densetsu (Japan),真人快打(日版)
Mortal Kombat 3 (Europe),真人快打3(欧版)
Mortal Kombat II (World),真人快打2(世界)
Ms. Pac-Man (USA),吃豆女精灵(美版)
"NBA Action Starring David Robinson (USA, Brazil) (En)","NBA集锦(美版,巴西)(英)"
NBA Jam (Japan),NBA大灌篮(日版)
NBA Jam (USA) (Rev 1),NBA大灌篮(美版)(版本1)
"NBA Jam (USA, Europe)","NBA大灌篮(美版,欧版)"
NBA Jam - Tournament Edition (World),NBA大灌篮-联赛版(世界)
NFL '95 (USA),NFL橄榄球95(美版)
NFL Quarterback Club (World),NFL橄榄球俱乐部(世界)
NFL Quarterback Club 96 (USA),NFL橄榄球俱乐部96(美版)
NHL All-Star Hockey (USA),NFL全明星冰球(美版)
"NHL Hockey (USA, Europe)","NFL冰球(美版,欧版)"
Nazo Puyo (Japan),魔法气泡教学(日版)
Nazo Puyo (Japan) (Rev 1),魔法气泡教学(日版)(版本1)
Nazo Puyo - Arle no Roux (Japan),魔法气泡-阿蕾的料理(日版)
Nazo Puyo 2 (Japan),魔法气泡教学2(日版)
Neko Daisuki! (Japan),喜好猫咪(日版)
Ninja Gaiden (Japan),忍者外传(日版)
"Ninja Gaiden (USA, Europe, Brazil) (En)","忍者外传(美版,欧版,巴西)(英)"
Ninku (Japan),忍空(日版)
Ninku 2 - Tenkuuryuu e no Michi (Japan),忍空2-天空龙之道(日版)
Ninku Gaiden - Hiroyuki Daikatsugeki (Japan),忍空外传-藤泽大活剧(日版)
Nomo Hideo no World Series Baseball (Japan),世界棒球混合赛(日版)
"Olympic Gold (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)","奥运会金牌(欧版)(英,法,德,西,意,荷,葡,瑞)"
"Olympic Gold (Japan, USA, Brazil) (En,Fr,De,Es,It,Nl,Pt,Sv)","奥运会金牌(日版,美版,巴西)(英,法,德,西,意,荷,葡,瑞)"
"Ottifants, The (Europe) (En,Fr,De,Es,It)","欢乐食蚁兽(欧版)(英,法,德,西,意)"
"OutRun (Europe, Brazil) (En)","户外飚车(欧版,巴西)(英)"
"OutRun (Japan, Europe, Korea) (Ja)","户外飚车(日版,欧版,韩版)(日)"
OutRun Europa (Europe),户外飚车-欧洲(欧版)
OutRun Europa (USA),户外飚车-欧洲(美版)
"PGA Tour 96 (USA, Europe)","PGA巡回赛96(美版,欧版)"
PGA Tour Golf (USA) (Rev 1),PGA高尔夫巡回赛(美版)(版本1)
"PGA Tour Golf (USA, Europe)","PGA高尔夫巡回赛(美版,欧版)"
"PGA Tour Golf II (USA, Europe)","PGA高尔夫巡回赛2(美版,欧版)"
Pac-Attack (USA),小精灵方块(美版)
Pac-Man (Japan) (En),吃豆小精灵(日版)(英)
Pac-Man (USA),吃豆小精灵(美版)
Panzer Dragoon Mini (Japan),铁甲飞龙(日版)
"Paperboy (USA, Europe)","送报童(美版,欧版)"
Paperboy 2 (USA),送报童2(美版)
Pengo (Europe),碰碰冰(欧版)
Pengo (Japan),碰碰冰(日版)
Pet Club - Inu Daisuki! (Japan),宠物俱乐部-喜好狗狗(日版)
"Pete Sampras Tennis (USA, Europe)","桑普拉斯网球赛(美版,欧版)"
Phantasy Star Adventure (Japan),梦幻之星冒险(日版)
Phantasy Star Gaiden (Japan),梦幻之星外传(日版)
"Phantom 2040 (USA, Europe)","幻影2040(美版,欧版)"
Pinball Dreams (USA),梦幻弹珠台(美版)
Pocket Jansou (Japan),口袋雀庄(日版)
Poker Face Paul's Blackjack (USA),保罗扑克-21点(美版)
Poker Face Paul's Gin (USA),保罗扑克-金(美版)
Poker Face Paul's Poker (USA),保罗扑克-大扑克(美版)
Poker Face Paul's Solitaire (USA),保罗扑克-接龙(美版)
Pop Breaker (Japan),爆击破坏者(日版)
Popeye no Beach Volleyball (Japan),大力水手沙滩排球(日版)
Power Drive (Europe),极速驰骋(欧版)
"Power Strike II (Japan, Europe) (En)","GG银河号2(日版,欧版)(英)"
"Predator 2 (USA, Europe)","铁血战士2(美版,欧版)"
"Primal Rage (USA, Europe)","原始之怒(美版,欧版)"
"Prince of Persia (USA, Europe)","波斯王子(美版,欧版)"
"Pro Yakyuu '91, The (Japan)",职业棒球91(日版)
Pro Yakyuu GG League '94 (Japan),职业野球GG联赛94(日版)
Pro Yakyuu GG League (Japan),职业野球GG联赛(日版)
Psychic World (Japan) (En),超自然世界(日版)(英)
"Psychic World (USA, Europe, Brazil) (En) (Rev 1)","超自然世界(美版,欧版,巴西)(英)(版本1)"
"Putt & Putter (Japan, Korea) (Ja)","迷你高尔夫(日版,韩版)(日)"
"Putt & Putter (USA, Europe, Brazil) (En)","迷你高尔夫(美版,欧版,巴西)(英)"
"Puyo Puyo (Japan) (En,Ja)","魔法气泡(日版)(英,日)"
Puyo Puyo Tsuu (Japan),魔法气泡2(日版)
Puzzle & Action - Ichidanto-R (Japan),益智游戏-一文字R(日版)
Puzzle & Action - Tanto-R (Japan),益智游戏-短刀R(日版)
Puzzle Bobble (Japan),泡泡龙(日版)
"Quest for the Shaven Yak Starring Ren Hoek & Stimpy (USA, Europe)","莱恩与史丁比(美版,欧版)"
"Quiz Gear Fight!!, The (Japan)",问答齿轮(日版)
R.B.I. Baseball '94 (USA),RBI棒球94(美版)
R.C. Grand Prix (USA),遥控大奖赛(美版)
Rastan Saga (Japan),王者之剑(日版)
"Revenge of Drancon (USA, Brazil) (En)","神奇小子(美版,巴西)(英)"
Riddick Bowe Boxing (Japan),瑞迪克拳击(日版)
Riddick Bowe Boxing (USA),瑞迪克拳击(美版)
"Rise of the Robots (USA, Europe)","机器风云(美版,欧版)"
Ristar (World),外星王子(世界)
Road Rash (Europe),暴力摩托(欧版)
Road Rash (USA),暴力摩托(美版)
RoboCop 3 (World),机械战警3(世界)
"RoboCop Versus The Terminator (USA, Europe)","机械战警对魔鬼终结者(美版,欧版)"
Royal Stone - Hirakareshi Toki no Tobira (Japan),皇家圣石(日版)
Ryuukyuu (Japan),琉球(日版)
SD Gundam - Winner's History (Japan),SD高达-胜利者的历史(日版)
Samurai Shodown (USA),侍魂(美版)
Samurai Spirits (Japan),侍魂(日版)
Scratch Golf (Japan),平权高尔夫(日版)
Scratch Golf (USA),平权高尔夫(美版)
Sega Game Pack 4 in 1 (Europe),世嘉游戏4合1(欧版)
Sensible Soccer - European Champions (Europe),感官足球(欧版)
Shadam Crusader - Harukanaru Oukoku (Japan),遥远的王国(日版)
Shanghai II (Japan),上海2(日版)
Shanghai II (Japan) (Rev A),上海2(日版)(版本A)
Shaq Fu (USA),夏福(美版)
Shikinjou (Japan),紫禁城(日版)
Shining Force - The Sword of Hajya (USA),光明力量外传-远征邪神国(美版)
"Shining Force Gaiden - Ensei, Jashin no Kuni e (Japan)",光明力量外传-远征邪神国(日版)
Shining Force Gaiden - Final Conflict (Japan),光明力量外传-最终之战(日版)
Shining Force Gaiden II - Jashin no Kakusei (Japan),光明力量外传2-邪神的觉醒(日版)
Shinobi (World) (Rev A),忍(世界)(版本A)
Shinobi II - The Silent Fury (World),忍2-沉默之怒(世界)
Side Pocket (USA),花式撞球(美版)
"Simpsons, The - Bart vs. the Space Mutants (USA, Europe)","辛普森-巴特与外星人(美版,欧版)"
"Simpsons, The - Bart vs. the World (World)",辛普森-巴特与世界(世界)
"Simpsons, The - Bartman Meets Radioactive Man (USA)",辛普森-蝙蝠侠与辐射超人(美版)
Skweek (Japan),毛球历险记(日版)
"Slider (USA, Europe)","彩涂冒险(美版,欧版)"
"Smurfs Travel the World, The (Europe) (En,Fr,De,Es)","蓝精灵-环游世界(欧版)(英,法,德,西)"
"Smurfs, The (Europe) (En,Fr,De,Es)","蓝精灵(欧版)(英,法,德,西)"
Solitaire FunPak (USA),纸牌游戏合集(美版)
"Solitaire Poker (USA, Europe)","纸牌游戏合集(美版,欧版)"
Sonic & Tails (Japan) (En),索尼克与泰尔斯(日版)(英)
Sonic & Tails 2 (Japan),索尼克与泰尔斯2(日版)
Sonic Blast (World),索尼克3D(世界)
"Sonic Chaos (USA, Europe, Brazil) (En)","索尼克大冒险-混沌(美版,欧版,巴西)(英)"
Sonic Drift (Japan) (En),索尼克赛车(日版)(英)
Sonic Drift 2 (World),索尼克赛车2(世界)
Sonic Labyrinth (World),索尼克迷宫(世界)
"Sonic Spinball (USA, Europe, Brazil) (En)","索尼克弹珠台(美版,欧版,巴西)(英)"
"Sonic The Hedgehog (Japan, USA) (En)","索尼克(日版,美版)(英)"
Sonic The Hedgehog (World) (Rev 1),索尼克(世界)(版本1)
"Sonic The Hedgehog - Triple Trouble (USA, Europe, Brazil) (En)","索尼克(美版,欧版,巴西)(英)"
Sonic The Hedgehog 2 (World),索尼克2(世界)
Soukoban (Japan),仓库番(日版)
Space Harrier (World),太空哈利(世界)
"Spider-Man (USA, Europe)","蜘蛛侠(美版,欧版)"
