Name EN,Name ZH
"WarCraft II - The Dark Saga (Europe) (En,Fr,De,Es,It)",魔兽争霸 2 - 暗黑传说
"Tilt! (Europe) (En,Fr,De)",倾斜
Robotica - Cybernation Revolt (Europe),死亡逻辑 - 机器人起义
Capcom Generation - Dai-1-shuu Gekitsuiou no Jidai (Japan),卡普空时代 1 - 击坠王的时代
Capcom Generation - Dai-2-shuu Makai to Kishi (Japan),卡普空时代 2 - 魔界的骑士
Capcom Generation - Dai-3-shuu Koko ni Rekishi Hajimaru (Japan),卡普空时代 3 - 历史从这里开始
Capcom Generation - Dai-4-shuu Kokou no Eiyuu (Japan),卡普空时代 4 - 孤高的英雄
Capcom Generation - Dai-5-shuu Kakutouka-tachi (Japan),卡普空时代 5 - 街头霸王
Marvel Super Heroes (Japan),美国超人
Quiz Nanairo Dreams - Nijiiro-chou no Kiseki (Japan),七彩梦 - 虹色町的奇迹
Rockman X3 (Japan) (2M),洛克人 X3
Rockman X4 (Japan) (3M),洛克人 X4
Street Fighter Collection (Japan) (Disc 1),街头霸王合集
Street Fighter Collection (Japan) (Disc 2),街头霸王合集
Street Fighter Zero (Japan) (2M),街头霸王 ZERO
Super Adventure Rockman (Japan) (Disc 1) (Episode 1 - Tsuki no Shinden),超级洛克人大冒险
Super Adventure Rockman (Japan) (Disc 2) (Episode 2 - Shitou! Wily Numbers),超级洛克人大冒险
Super Adventure Rockman (Japan) (Disc 3) (Episode 3 - Saigo no Tatakai!!),超级洛克人大冒险
Super Puzzle Fighter II X (Japan),街霸方块
Tenchi o Kurau II - Sekiheki no Tatakai (Japan),吞食天地 2 - 赤壁之战
X-Men - Children of the Atom (Japan),X战警 - 磁场原子人
Cyberbots - Fullmetal Madness (Japan) (1M),装甲之战 - 全金属狂潮
Dungeons & Dragons Collection (Japan) (Disc 1) (Tower of Doom),龙与地下城
Dungeons & Dragons Collection (Japan) (Disc 2) (Shadow over Mystara),龙与地下城
Virtua Fighter Remix (Japan) (6M),VR战士 - REMIX
Vampire Hunter - Darkstalkers' Revenge (Japan) (1M),恶魔猎人 - 恶魔的复仇
"Vampire Hunter - Darkstalkers' Revenge (Japan) (2M, 4M)",恶魔猎人 - 恶魔的复仇
Command & Conquer - Teil 1 - Der Tiberiumkonflikt (Germany) (Disc 1) (GDI),命令与征服 第一章 - 泰伯利亚冲突
Assault Suit Leynos 2 (Japan),重装机兵雷亚斯
Thunder Force V (Japan),雷鸟 5
Magical Drop III - Toretate Zoukan-gou! (Japan) (2M),魔法气泡 3
"Samurai Spirits - Amakusa Kourin (Japan) (En,Ja,Es,Pt)",侍魂 - 天草降临
Popoitto Hebereke (Japan),魔法气泡特别版
Lupin Sansei - Pyramid no Kenja (Japan),鲁邦三世 - 金字塔的贤者
Hyper Duel (Japan),神枪战机
Shinsetsu Samurai Spirits - Bushidou Retsuden (Japan),侍魂 - 武士道列传
Game Basic for SegaSaturn (Japan),
Kyuutenkai (Japan),球转界
Astra Superstars (Japan),阿斯特拉超级之星
Command & Conquer - Teil 1 - Der Tiberiumkonflikt (Germany) (Disc 2) (NOD),命令与征服 第一章 - 泰伯利亚冲突
Grandia - Digital Museum (Japan),格兰蒂亚 - 数码博物馆
Game Tengoku - The Game Paradise! (Japan),游戏天国
Blue Breaker - Ken yori mo Hohoemi o (Japan),蓝色破坏者 - 剑的微笑
Grandia (Japan) (Disc 1) (2M),格兰蒂亚
Grandia (Japan) (Disc 2) (3M),格兰蒂亚
Keiou Yuugekitai - Katsugeki-hen (Japan),庆应游击队 - 活剧篇
Noon (Japan) (Rev A),正午
Deroon Dero Dero (Japan) (1M),益智迪诺
Madou Monogatari (Japan),魔导物语
Ochigee Designer Tsukutte Pon! (Japan),做一个失败的游戏设计师吧
Puyo Puyo Tsuu (Japan) (3M),魔法气泡
Shinrei Jusatsushi Taroumaru (Japan),心灵咒杀师 - 太郎丸
Tetris Plus (Japan),俄罗斯方块
Waku Waku Puyo Puyo Dungeon (Japan) (4M),火热火热对噗呦噗呦
"Puyo Puyo Sun (Japan) (1M, 3M)",泡泡通太阳
"House of the Dead, The (Japan)",死亡之屋
Albert Odyssey Gaiden - Legend of Eldean (Japan) (3M),亚鲁巴战记外传 - 艾尔丹传奇
Galaxy Fight - Universal Warriors (Japan),银河快打 - 宇宙战士
Cyber Doll (Japan),武装斗士
NHL All-Star Hockey (Europe),NHL冰球全明星赛
Daisuki (Japan) (Disc 1),最喜欢你
Daisuki (Japan) (Disc 2) (Special),最喜欢你
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (2M),恶魔城 X - 月下夜想曲
Detana Twinbee Yahoo! Deluxe Pack (Japan) (3M),出击兵蜂 豪华版
Gokujou Parodius Da! Deluxe Pack (Japan) (Rev A),极上 Q版沙罗曼蛇
Gradius Deluxe Pack (Japan),宇宙巡航舰 - 复活的神话
J.League Jikkyou Honoo no Striker (Japan) (1M),实况 J联盟 - 完美射手
Jikkyou Oshaberi Parodius - Forever with Me (Japan),实况 Q版沙罗曼蛇
Konami Antiques - MSX Collection Ultra Pack (Japan) (2M),科乐美 MSX游戏合集
Policenauts (Japan) (Disc 1),宇宙骑警
Policenauts (Japan) (Disc 2),宇宙骑警
Policenauts (Japan) (Disc 3),宇宙骑警
Salamander Deluxe Pack Plus (Japan),沙罗曼蛇 豪华版 PLUS
Sexy Parodius (Japan),性感疯狂大射击
Snatcher (Japan),诱拐者
Tokimeki Memorial - Forever with You (Japan) (Special-ban) (2M),心跳回忆 - 永远属于你
Tokimeki Memorial Taisen Puzzledama (Japan) (2M),心跳回忆 - 对战方块
Tokimeki Memorial Taisen Tokkaedama (Japan),心跳回忆 - 对战方块
Vandal Hearts - Ushinawareta Kodai Bunmei (Japan),汪达尔之心 - 失落的古代文明
Guardian Force (Japan),守护力量
Magical Night Dreams - Cotton 2 (Japan),棉花小魔女 2
Steamgear Mash (Japan) (1M),蒸汽齿轮
Magical Night Dreams - Cotton Boomerang (Japan),棉花小魔女
Soukyuu Gurentai (Japan) (Rev A),苍穹红莲队
Bubble Bobble also featuring Rainbow Islands (Europe),泡泡龙 - 彩虹岛
Street Fighter Alpha - Warriors' Dreams (Europe),少年街霸 - 斗士的梦想
Street Fighter Alpha 2 (Europe),少年街霸 2
Street Fighter - Real Battle on Film (Japan) (4M),街头霸王 电影版
Grandia (Japan) (Disc 1) (1M),格兰蒂亚
Grandia (Japan) (Disc 2) (4M),格兰蒂亚
"Command & Conquer (Europe) (En,Fr,De) (Disc 2) (NOD)",命令与征服
"Command & Conquer (Europe) (En,Fr,De) (Disc 1) (GDI)",命令与征服
Magical Drop (Japan),魔法气泡
Command & Conquer (Japan) (Disc 1) (GDI Disc),命令与征服
Command & Conquer (Japan) (Disc 2) (NOD Disc),命令与征服
Road Rash (Europe),暴力摩托
Kaitei Daisensou (Japan),海底大战争
"Virtua Fighter Remix (Japan) (2M, 5M)",VR战士 - REMIX
Ultimate Mortal Kombat 3 (Europe),终极真人快打 3
