Name EN,Name CN
Formation Soccer 95 della Serie A (Japan),意甲足球 95
Pachio-kun - Maboroshi no Densetsu (Japan) (Rev 8),柏青哥君 - 幻的传说
Metal Angel 2 (Japan),合金天使 2
Laser Soft Visual Collection Vol. 1 - Cosmic Fantasy Visual-shuu (Japan),漫画幻想视觉集
Tadaima Yuusha Boshuu-chuu (Japan),勇者募集中
Quiz Avenue III (Japan),智力竞赛大道 3
Yami no Ketsuzoku - Harukanaru Kioku (Japan),黑暗的血族 - 遥远的记忆
Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan),元朝秘史 - 苍狼与白鹿
Sword Master (Japan),剑圣
"Pro Yakyuu Super '94, The (Japan)",超级职业棒球 94
PC Engine Fan - Special CD-ROM^2 Vol. 1 (Japan),
PC Engine Hyper Catalog CD-ROM (Japan),
PC Engine Hyper Catalog CD-ROM 2 - 1993 Spring (Japan),
PC Engine Hyper Catalog CD-ROM 3 - 1993 Summer (Japan),
PC Engine Hyper Catalog CD-ROM 4 - 1993 Winter (Japan),
PC Engine Hyper Catalog CD-ROM 5 - 1994 Spring (Japan),
PC Engine Hyper Catalog CD-ROM 6 - 1994 Summer (Japan) (Disc A),
PC Engine Hyper Catalog CD-ROM 6 - 1994 Summer (Japan) (Disc B),
Space Invaders - The Original Game (Japan),太空侵略者
Mamono Hunter Youko - Makai kara no Tenkousei (Japan),魔物猎人妖子 - 来自魔界的转校生
Mamono Hunter Youko - Tooki Yobigoe (Japan),魔物猎人妖子 - 遥远的呼声
Eiyuu Sangokushi (Japan),英雄三国志
Wrestling Universe - Fire Pro Joshi - Dome Choujo Taisen - Zenjo vs. JWP (Japan),搏斗宇宙 憧梦超女大战 - 全女vsJWP
Ultra Box Soukan-gou (Japan),究极盒子创刊号
Ultra Box 2-gou (Japan),究极盒子2号
Ultra Box 5-gou (Japan),究极盒子5号
ROM^2 Karaoke Volume 1 (Japan) (Alt),ROM²卡拉OK 1
ROM^2 Karaoke Volume 2 (Japan),ROM²卡拉OK 2
ROM^2 Karaoke Volume 3 (Japan),ROM²卡拉OK 3
Alshark (Japan),星际怒涛
Downtown Nekketsu Koushinkyoku - Soreyuke Daiundoukai (Japan),热血进行曲
GS (Ghost Sweeper) Mikami (Japan),GS美神
Sol Moonarge (Japan),日月神契
Valis II (Japan) (Alt 1),梦幻战士 2
Faussete Amour (Japan),虚假的爱
Summer Carnival '93 - NEXZR Special (Japan),夏夜狂欢 93
Police Connection (Japan),警察关系
ROM^2 Karaoke Vol. 1 - Suteki ni Standard (Japan),ROM²卡拉OK 1 - 绝妙的标准
ROM^2 Karaoke Vol. 2 - Nattoku Idol (Japan),ROM²卡拉OK 2 - 偶像团体
ROM^2 Karaoke Vol. 3 - Yappashi Band (Japan),ROM²卡拉OK 3 - 干练乐队
ROM^2 Karaoke Vol. 4 - Choito Otona! (Japan),ROM²卡拉OK 4 - 稍微成熟一点!
ROM^2 Karaoke Vol. 5 - Karaoke Maku no Uchi (Japan),ROM²卡拉OK 5 - 卡拉OK的幕内
Tokimeki Memorial (Japan) (Rev 1),心跳回忆
Hawk F-123 (Japan),鹰 F123
"Ryuuko no Ken (Japan) (En,Ja,Es) (FACT)",龙虎之拳
Cosmic Fantasy - Bouken Shounen Yuu (Japan) (Alt 1),宇宙幻想 - 冒险少年尤
Ys I & II (Japan) (Alt),伊苏 1 + 2
Bomberman '94 (Japan) (Demo),炸弹人 '94
Ruin - Kami no Isan (Japan),毁灭 - 神的遗产
CD Hanafuda - Bishoujo Fan Club (Japan) (Unl),CD花札 - 美少女粉丝俱乐部
AV Tanjou (Japan) (Unl) (Alt 1),AV诞生
Pyramid Plunder (USA) (Unl),金字塔掠夺
"Mysterious Song (USA) (En,Fr,Es) (Unl)",神秘的歌曲
"Revival Chase (USA) (En,Fr) (Unl)",复兴追逐
AV Tanjou (Japan) (Unl) (Alt 2),AV诞生
