EN Name,CN Name
Smash Ping Pong (Japan),桌球大赛 (日版)
Soccer (Japan),足球 (日版)
Solomon no Kagi (Japan) (Disk Writer),所罗门之匙 (日版) (Disk Writer)
Souseiki Fammy - ROM-QD for 256K+64K (Japan) (Unl),创世纪Fammy-游戏转储器-256K+64K (日版) (Unl)
Suishou no Dragon (Japan),水晶之龙 (日版)
Super Boy Allan (Japan),超级儿童算术 (日版)
Super Lode Runner (Japan),超级淘金者 (日版)
Super Lode Runner II (Japan) (Disk Writer),超级淘金者2 (日版) (Disk Writer)
Super Mario Brothers (Japan),超级马里奥 (日版)
Super Mario Brothers 2 (Japan) (DV 0),超级马里奥2 (日版) (DV 0)
Super Mario Brothers 2 (Japan) (DV 2),超级马里奥2 (日版) (DV 2)
Tama & Friends - 3 Choume Daibouken (Japan),三丁目大冒险 (日版)
Tanigawa Kouji no Shougi Shinan II - Meijin e no Michi (Japan),谷川浩司的将棋指南2 (日版)
Tanigawa Kouji no Shougi Shinan II - Meijin e no Michi (Japan) (Beta) (1987-11-13),谷川浩司的将棋指南2 (日版) (Beta) (1987-11-13)
Tanigawa Kouji no Shougi Shinan II - Meijin e no Michi - Shinban Tsumeshougi - Tsugi no Itte (Japan) (Disk Writer),谷川浩司的将棋指南2 (日版) (Disk Writer)
Tantei Jinguuji Saburou - Kiken na Futari - Kouhen (Japan),侦探神宫寺三郎-危险的二人 (日版)
Tantei Jinguuji Saburou - Kiken na Futari - Zenpen (Japan) [b],侦探神宫寺三郎-危险的二人 (日版) [b]
Tantei Jinguuji Saburou - Shinjuku Chuuou Kouen Satsujin Jiken (Japan),侦探神宫寺三郎-新宿中央公园杀人事件 (日版)
Tantei Jinguuji Saburou - Shinjuku Chuuou Kouen Satsujin Jiken (Japan) (Rev 1) (Disk Writer) [b],侦探神宫寺三郎-新宿中央公园杀人事件 (日版) (Rev 1) (Disk Writer) [b]
Tarot Uranai (Japan),塔罗牌占卜 (日版)
Tennis (Japan),网球 (日版)
Tenshi Tachi no Houkago (Japan) (Disk 1) (Unl),天使们的放课后 (日版) (Disk 1) (Unl)
Tenshi Tachi no Houkago (Japan) (Disk 2) (Unl),天使们的放课后 (日版) (Disk 2) (Unl)
Time Twist - Rekishi no Katasumi de... - Kouhen (Japan),时空冒险 (日版)
Time Twist - Rekishi no Katasumi de... - Zenpen (Japan),时空冒险 (日版)
Titanic Mystery - Ao no Senritsu (Japan),泰坦尼克之谜-苍之战栗 (日版)
Tobidase Daisakusen (Japan),出击大作战 (日版)
Tonkachi Editor (Japan) (Unl),大锤游戏修改器 (日版) (Unl)
Tooyama no Kinsan Space Chou - Mr. Gold (Japan),金先生太空之旅 (日版)
Topple Zip (Japan) [b],飞天大战 (日版) [b]
Transformers - The Headmasters (Japan) [b],变形金刚2-头领战士 (日版) [b]
TwinBee (Japan) (Disk Writer),兵蜂 (日版) (Disk Writer)
Ultraman - Kaijuu Teikoku no Gyakushuu (Japan) [b],咸蛋超人-怪兽帝国之逆袭 (日版) [b]
Ultraman - Kaijuu Teikoku no Gyakushuu (Japan) (Disk Writer),咸蛋超人-怪兽帝国之逆袭 (日版) (Disk Writer)
Ultraman 2 - Shutsugeki Katoku Tai (Japan),咸蛋超人2-出击科特队 (日版)
Ultraman Club - Chikyuu Dakkan Sakusen (Japan) [b],咸蛋超人俱乐部 (日版) [b]
Ultraman Club - Chikyuu Dakkan Sakusen (Japan) (Rev 1) [b],咸蛋超人俱乐部 (日版) (Rev 1) [b]
Volleyball (Japan),排球 (日版)
Vs. Excitebike (Japan) (En),越野摩托车 (日版) (En)
Wakusei Aton Gaiden (Japan) (National Tax Agency Demo),惑星阿托恩外传 (日版) (National Tax Agency Demo)
Wardner no Mori (Japan),威特纳之森林 (日版)
Winter Games (Japan),冬季奥运会 (日版)
Wrecking Crew (Japan) (Disk Writer),马裡奥敲砖工 (日版) (Disk Writer)
Xevious (Japan) (Disk Writer),铁板阵 (日版) (Disk Writer)
Yakyuuken Part II - Gal's Dungeon (Japan) (Unl),性感野球拳冒险2-女子地牢 (日版) (Unl)
Youkai Yashiki (Japan),妖怪屋敖 (日版)
Yume Koujou Doki Doki Panic (Japan) (DV 2),梦工厂 (日版) (DV 2)
Yume Koujou Doki Doki Panic (Japan) (DV 1) [b],梦工厂 (日版) (DV 1) [b]
Yuu Maze (Japan),游戏人生 (日版)
Yuushi no Monshou - Deep Dungeon (Japan) [b],勇者之纹章 (日版) [b]
Yuushi no Monshou - Deep Dungeon (Japan) (Rev 1) (Disk Writer) [b],勇者之纹章 (日版) (Rev 1) (Disk Writer) [b]
Zanac (Japan),银河号 (日版)
Zatsugaku Olympic Quiz - Watanabe Wataru Hen (Japan) (Unl),美少女问答 (日版) (Unl)
Zatsugaku Olympic Quiz Part II (Japan) (Unl),美少女问答2 (日版) (Unl)
Zelda no Densetsu - The Hyrule Fantasy (Japan),萨尔达传说 (日版)
Zelda no Densetsu - The Hyrule Fantasy (Japan) (Rev 1),萨尔达传说 (日版) (Rev 1)
Zelda no Densetsu - The Hyrule Fantasy (Japan) (Beta),萨尔达传说 (日版) (Beta)
